"ï»¿Report Date","Geography Type","Geography Name",FacilityTypeGroup,"Number of Outbreaks","Number of Outbreak Associated Cases","Number of Outbreak Associated Deaths"
2020-06-22,State,Virginia,"Educational Setting",12,53,0
2020-06-22,State,Virginia,"Congregate Setting",122,2026,25
2020-06-22,State,Virginia,"Correctional Facility",34,1861,9
2020-06-22,State,Virginia,"Long Term Care Facilities",230,6601,1005
2020-06-22,State,Virginia,"Healthcare Setting",30,210,8
2020-06-22,"Health District",Portsmouth,"Correctional Facility",2,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Chickahominy,"Congregate Setting",6,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Loudoun,"Long Term Care Facilities",10,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Central Shenandoah","Educational Setting",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Prince William","Long Term Care Facilities",13,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Henrico,"Congregate Setting",4,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Alexandria,"Educational Setting",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Alexandria,"Long Term Care Facilities",10,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Southside,"Healthcare Setting",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Piedmont,"Long Term Care Facilities",2,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Richmond,"Congregate Setting",5,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Hampton,"Long Term Care Facilities",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Peninsula,"Healthcare Setting",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Richmond,"Long Term Care Facilities",6,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Alleghany,"Healthcare Setting",2,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Thomas Jefferson","Congregate Setting",6,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Peninsula,"Long Term Care Facilities",7,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Thomas Jefferson","Educational Setting",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Chickahominy,"Healthcare Setting",2,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Virginia Beach","Long Term Care Facilities",9,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Chesapeake,"Correctional Facility",2,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Rappahannock Rapidan","Congregate Setting",4,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Fairfax,"Correctional Facility",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Crater,"Healthcare Setting",2,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Central Virginia","Congregate Setting",3,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Prince William","Educational Setting",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Lord Fairfax","Healthcare Setting",5,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Three Rivers","Correctional Facility",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Piedmont,"Correctional Facility",6,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Virginia Beach","Correctional Facility",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Norfolk,"Congregate Setting",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Central Shenandoah","Congregate Setting",8,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Southside,"Correctional Facility",2,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Portsmouth,"Healthcare Setting",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Virginia Beach","Congregate Setting",6,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Roanoke,"Congregate Setting",3,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Southside,"Long Term Care Facilities",3,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Mount Rogers","Long Term Care Facilities",4,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Fairfax,"Long Term Care Facilities",57,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Chesterfield,"Correctional Facility",4,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Alleghany,"Congregate Setting",3,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Fairfax,"Educational Setting",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Pittsylvania-Danville,"Congregate Setting",4,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Central Shenandoah","Correctional Facility",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Richmond,"Educational Setting",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Rappahannock Rapidan","Healthcare Setting",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Rappahannock,"Long Term Care Facilities",6,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Central Virginia","Long Term Care Facilities",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Chesapeake,"Educational Setting",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Arlington,"Healthcare Setting",3,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Alleghany,"Long Term Care Facilities",2,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Crater,"Long Term Care Facilities",9,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Hampton,"Congregate Setting",2,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Loudoun,"Congregate Setting",2,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Peninsula,"Congregate Setting",9,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Piedmont,"Healthcare Setting",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Western Tidewater","Congregate Setting",2,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Rappahannock,"Educational Setting",2,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","New River","Congregate Setting",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Rappahannock,"Congregate Setting",10,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Rappahannock Rapidan","Long Term Care Facilities",3,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Lenowisco,"Congregate Setting",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Thomas Jefferson","Correctional Facility",2,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Chesterfield,"Long Term Care Facilities",10,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","West Piedmont","Congregate Setting",5,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Crater,"Congregate Setting",4,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Arlington,"Long Term Care Facilities",11,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Peninsula,"Educational Setting",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Chickahominy,"Correctional Facility",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Western Tidewater","Correctional Facility",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Chesapeake,"Healthcare Setting",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","West Piedmont","Long Term Care Facilities",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Cumberland Plateau","Educational Setting",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Eastern Shore","Congregate Setting",6,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Chesapeake,"Congregate Setting",5,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Central Shenandoah","Healthcare Setting",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Roanoke,"Long Term Care Facilities",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Crater,"Correctional Facility",4,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Norfolk,"Long Term Care Facilities",2,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Chesapeake,"Long Term Care Facilities",8,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Prince William","Correctional Facility",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Three Rivers","Congregate Setting",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Central Shenandoah","Long Term Care Facilities",7,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Loudoun,"Healthcare Setting",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Prince William","Congregate Setting",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Lord Fairfax","Congregate Setting",8,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Lenowisco,"Correctional Facility",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Rappahannock,"Healthcare Setting",2,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Portsmouth,"Long Term Care Facilities",2,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Three Rivers","Long Term Care Facilities",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Henrico,"Long Term Care Facilities",16,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Lord Fairfax","Long Term Care Facilities",8,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Western Tidewater","Long Term Care Facilities",5,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Eastern Shore","Long Term Care Facilities",4,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Norfolk,"Correctional Facility",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Chesterfield,"Congregate Setting",5,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Lord Fairfax","Correctional Facility",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Alexandria,"Congregate Setting",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Virginia Beach","Educational Setting",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Thomas Jefferson","Long Term Care Facilities",4,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Mount Rogers","Healthcare Setting",2,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Virginia Beach","Healthcare Setting",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Peninsula,"Correctional Facility",2,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Fairfax,"Healthcare Setting",3,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Chickahominy,"Long Term Care Facilities",6,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Fairfax,"Congregate Setting",2,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Mount Rogers","Congregate Setting",2,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Pittsylvania-Danville,"Long Term Care Facilities",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Arlington,"Congregate Setting",2,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Three Rivers","Educational Setting",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Piedmont,Other,0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Portsmouth,"Educational Setting",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Chesterfield,Other,0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Richmond,"Healthcare Setting",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Cumberland Plateau",Other,0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Cumberland Plateau","Healthcare Setting",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Lenowisco,"Educational Setting",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Chesterfield,"Healthcare Setting",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Loudoun,"Educational Setting",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Chesapeake,Other,0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","West Piedmont","Healthcare Setting",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Mount Rogers","Correctional Facility",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Cumberland Plateau","Correctional Facility",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Eastern Shore",Other,0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Eastern Shore","Educational Setting",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Richmond,"Correctional Facility",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Piedmont,"Educational Setting",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Rappahannock,"Correctional Facility",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Central Virginia","Correctional Facility",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Piedmont,"Congregate Setting",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Portsmouth,Other,0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Lenowisco,Other,0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Southside,"Educational Setting",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Peninsula,Other,0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Prince William",Other,0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Alexandria,"Healthcare Setting",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Roanoke,Other,0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","New River","Educational Setting",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Crater,Other,0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","New River","Healthcare Setting",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Alleghany,"Educational Setting",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Arlington,Other,0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Richmond,Other,0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Arlington,"Correctional Facility",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Loudoun,"Correctional Facility",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Alleghany,Other,0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Hampton,"Healthcare Setting",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Thomas Jefferson","Healthcare Setting",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Pittsylvania-Danville,"Educational Setting",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Lenowisco,"Long Term Care Facilities",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Lenowisco,"Healthcare Setting",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Lord Fairfax","Educational Setting",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Thomas Jefferson",Other,0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Central Shenandoah",Other,0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","West Piedmont","Educational Setting",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Western Tidewater",Other,0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Prince William","Healthcare Setting",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Central Virginia","Healthcare Setting",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Mount Rogers",Other,0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Chesterfield,"Educational Setting",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","New River","Correctional Facility",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Virginia Beach",Other,0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Rappahannock Rapidan","Educational Setting",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Norfolk,"Educational Setting",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Roanoke,"Correctional Facility",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Pittsylvania-Danville,"Healthcare Setting",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Henrico,Other,0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Roanoke,"Healthcare Setting",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Lord Fairfax",Other,0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Three Rivers","Healthcare Setting",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Crater,"Educational Setting",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Central Virginia","Educational Setting",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","West Piedmont","Correctional Facility",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Central Virginia",Other,0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Chickahominy,Other,0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Norfolk,"Healthcare Setting",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Three Rivers",Other,0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Eastern Shore","Correctional Facility",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Roanoke,"Educational Setting",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Eastern Shore","Healthcare Setting",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Western Tidewater","Healthcare Setting",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Hampton,"Educational Setting",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Henrico,"Educational Setting",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Southside,Other,0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Rappahannock Rapidan",Other,0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Rappahannock,Other,0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Henrico,"Correctional Facility",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Arlington,"Educational Setting",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Fairfax,Other,0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Alexandria,"Correctional Facility",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Cumberland Plateau","Long Term Care Facilities",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","New River",Other,0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Southside,"Congregate Setting",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Cumberland Plateau","Congregate Setting",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Hampton,"Correctional Facility",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Hampton,Other,0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Loudoun,Other,0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Mount Rogers","Educational Setting",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Pittsylvania-Danville,"Correctional Facility",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Rappahannock Rapidan","Correctional Facility",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Norfolk,Other,0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Alleghany,"Correctional Facility",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","New River","Long Term Care Facilities",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Portsmouth,"Congregate Setting",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Alexandria,Other,0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Henrico,"Healthcare Setting",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Western Tidewater","Educational Setting",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Pittsylvania-Danville,Other,0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","West Piedmont",Other,0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Chickahominy,"Educational Setting",0,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Lenowisco,"All Outbreaks",2,26,"Not provided at this time"
2020-06-22,"Health District",Chesterfield,"All Outbreaks",19,359,"Not provided at this time"
2020-06-22,"Health District",Portsmouth,"All Outbreaks",5,88,"Not provided at this time"
2020-06-22,"Health District","Western Tidewater","All Outbreaks",8,394,"Not provided at this time"
2020-06-22,"Health District","Cumberland Plateau","All Outbreaks",1,17,"Not provided at this time"
2020-06-22,"Health District","Prince William","All Outbreaks",16,502,"Not provided at this time"
2020-06-22,"Health District",Hampton,"All Outbreaks",3,42,"Not provided at this time"
2020-06-22,"Health District",Southside,"All Outbreaks",6,192,"Not provided at this time"
2020-06-22,"Health District",Henrico,"All Outbreaks",20,729,"Not provided at this time"
2020-06-22,"Health District",Alexandria,"All Outbreaks",12,207,"Not provided at this time"
2020-06-22,"Health District",Chickahominy,"All Outbreaks",15,246,"Not provided at this time"
2020-06-22,"Health District","New River","All Outbreaks",1,13,"Not provided at this time"
2020-06-22,"Health District",Fairfax,"All Outbreaks",64,1887,"Not provided at this time"
2020-06-22,"Health District","Lord Fairfax","All Outbreaks",22,581,"Not provided at this time"
2020-06-22,"Health District","Rappahannock Rapidan","All Outbreaks",8,118,"Not provided at this time"
2020-06-22,"Health District",Pittsylvania-Danville,"All Outbreaks",5,18,"Not provided at this time"
2020-06-22,"Health District",Crater,"All Outbreaks",19,589,"Not provided at this time"
2020-06-22,"Health District","Virginia Beach","All Outbreaks",18,141,"Not provided at this time"
2020-06-22,"Health District",Richmond,"All Outbreaks",12,93,"Not provided at this time"
2020-06-22,"Health District",Norfolk,"All Outbreaks",4,74,"Not provided at this time"
2020-06-22,"Health District","Thomas Jefferson","All Outbreaks",13,177,"Not provided at this time"
2020-06-22,"Health District","Eastern Shore","All Outbreaks",10,846,"Not provided at this time"
2020-06-22,"Health District","West Piedmont","All Outbreaks",6,90,"Not provided at this time"
2020-06-22,"Health District",Piedmont,"All Outbreaks",9,697,"Not provided at this time"
2020-06-22,"Health District",Peninsula,"All Outbreaks",20,140,"Not provided at this time"
2020-06-22,"Health District",Alleghany,"All Outbreaks",7,63,"Not provided at this time"
2020-06-22,"Health District",Chesapeake,"All Outbreaks",17,135,"Not provided at this time"
2020-06-22,"Health District",Rappahannock,"All Outbreaks",20,224,"Not provided at this time"
2020-06-22,"Health District","Three Rivers","All Outbreaks",3,276,"Not provided at this time"
2020-06-22,"Health District","Central Shenandoah","All Outbreaks",18,570,"Not provided at this time"
2020-06-22,"Health District","Mount Rogers","All Outbreaks",8,175,"Not provided at this time"
2020-06-22,"Health District",Loudoun,"All Outbreaks",13,423,"Not provided at this time"
2020-06-22,"Health District","Central Virginia","All Outbreaks",4,17,"Not provided at this time"
2020-06-22,"Health District",Roanoke,"All Outbreaks",4,60,"Not provided at this time"
2020-06-22,"Health District",Arlington,"All Outbreaks",16,542,"Not provided at this time"