"Report Date",FIPS,Locality,"VDH Health District","Total Cases",Hospitalizations,Deaths
03/24/2020,51013,Arlington,Arlington,36,4,0
03/24/2020,51015,Augusta,"Central Shenandoah",0,0,0
03/24/2020,51017,Bath,"Central Shenandoah",0,0,0
03/24/2020,51019,Bedford,"Central Virginia",1,0,0
03/24/2020,51021,Bland,"Mount Rogers",0,0,0
03/24/2020,51023,Botetourt,Alleghany,1,1,0
03/24/2020,51025,Brunswick,Southside,0,0,0
03/24/2020,51027,Buchanan,"Cumberland Plateau",0,0,0
03/24/2020,51029,Buckingham,Piedmont,0,0,0
03/24/2020,51031,Campbell,"Central Virginia",0,0,0
03/24/2020,51033,Caroline,Rappahannock,0,0,0
03/24/2020,51035,Carroll,"Mount Rogers",0,0,0
03/24/2020,51036,"Charles City",Chickahominy,1,0,0
03/24/2020,51037,Charlotte,Piedmont,0,0,0
03/24/2020,51041,Chesterfield,Chesterfield,10,2,0
03/24/2020,51043,Clarke,"Lord Fairfax",0,0,0
03/24/2020,51045,Craig,Alleghany,0,0,0
03/24/2020,51047,Culpeper,"Rappahannock Rapidan",2,0,0
03/24/2020,51049,Cumberland,Piedmont,0,0,0
03/24/2020,51051,Dickenson,"Cumberland Plateau",0,0,0
03/24/2020,51053,Dinwiddie,Crater,0,0,0
03/24/2020,51057,Essex,"Three Rivers",0,0,0
03/24/2020,51059,Fairfax,Fairfax,46,5,1
03/24/2020,51061,Fauquier,"Rappahannock Rapidan",0,0,0
03/24/2020,51063,Floyd,"New River",0,0,0
03/24/2020,51065,Fluvanna,"Thomas Jefferson",1,0,0
03/24/2020,51067,"Franklin County","West Piedmont",1,0,0
03/24/2020,51069,Frederick,"Lord Fairfax",0,0,0
03/24/2020,51071,Giles,"New River",0,0,0
03/24/2020,51073,Gloucester,"Three Rivers",2,0,0
03/24/2020,51075,Goochland,Chickahominy,3,0,0
03/24/2020,51077,Grayson,"Mount Rogers",0,0,0
03/24/2020,51079,Greene,"Thomas Jefferson",0,0,0
03/24/2020,51081,Greensville,Crater,0,0,0
03/24/2020,51083,Halifax,Southside,1,0,0
03/24/2020,51085,Hanover,Chickahominy,1,0,0
03/24/2020,51087,Henrico,Henrico,14,4,0
03/24/2020,51089,Henry,"West Piedmont",0,0,0
03/24/2020,51091,Highland,"Central Shenandoah",0,0,0
03/24/2020,51093,"Isle of Wight","Western Tidewater",2,1,0
03/24/2020,51095,"James City",Peninsula,37,7,2
03/24/2020,51097,"King and Queen","Three Rivers",0,0,0
03/24/2020,51099,"King George",Rappahannock,0,0,0
03/24/2020,51101,"King William","Three Rivers",0,0,0
03/24/2020,51103,Lancaster,"Three Rivers",0,0,0
03/24/2020,51105,Lee,Lenowisco,2,0,0
03/24/2020,51107,Loudoun,Loudoun,18,4,0
03/24/2020,51109,Louisa,"Thomas Jefferson",2,0,0
03/24/2020,51111,Lunenburg,Piedmont,0,0,0
03/24/2020,51113,Madison,"Rappahannock Rapidan",0,0,0
03/24/2020,51115,Mathews,"Three Rivers",0,0,0
03/24/2020,51117,Mecklenburg,Southside,2,1,0
03/24/2020,51119,Middlesex,"Three Rivers",0,0,0
03/24/2020,51121,Montgomery,"New River",0,0,0
03/24/2020,51125,Nelson,"Thomas Jefferson",0,0,0
03/24/2020,51127,"New Kent",Chickahominy,0,0,0
03/24/2020,51131,Northampton,"Eastern Shore",0,0,0
03/24/2020,51133,Northumberland,"Three Rivers",0,0,0
03/24/2020,51135,Nottoway,Piedmont,0,0,0
03/24/2020,51137,Orange,"Rappahannock Rapidan",0,0,0
03/24/2020,51139,Page,"Lord Fairfax",0,0,0
03/24/2020,51141,Patrick,"West Piedmont",0,0,0
03/24/2020,51143,Pittsylvania,Pittsylvania-Danville,0,0,0
03/24/2020,51145,Powhatan,Chesterfield,0,0,0
03/24/2020,51147,"Prince Edward",Piedmont,1,0,0
03/24/2020,51149,"Prince George",Crater,0,0,0
03/24/2020,51153,"Prince William","Prince William",23,5,0
03/24/2020,51155,Pulaski,"New River",0,0,0
03/24/2020,51157,Rappahannock,"Rappahannock Rapidan",0,0,0
03/24/2020,51159,"Richmond County","Three Rivers",0,0,0
03/24/2020,51161,"Roanoke County",Alleghany,0,0,0
03/24/2020,51163,Rockbridge,"Central Shenandoah",1,0,0
03/24/2020,51165,Rockingham,"Central Shenandoah",3,0,0
03/24/2020,51167,Russell,"Cumberland Plateau",0,0,0
03/24/2020,51169,Scott,Lenowisco,0,0,0
03/24/2020,51171,Shenandoah,"Lord Fairfax",0,0,0
03/24/2020,51173,Smyth,"Mount Rogers",0,0,0
03/24/2020,51175,Southampton,"Western Tidewater",0,0,0
03/24/2020,51177,Spotsylvania,Rappahannock,2,0,0
03/24/2020,51179,Stafford,Rappahannock,6,0,0
03/24/2020,51181,Surry,Crater,0,0,0
03/24/2020,51183,Sussex,Crater,0,0,0
03/24/2020,51185,Tazewell,"Cumberland Plateau",0,0,0
03/24/2020,51187,Warren,"Lord Fairfax",0,0,0
03/24/2020,51191,Washington,"Mount Rogers",0,0,0
03/24/2020,51193,Westmoreland,"Three Rivers",0,0,0
03/24/2020,51195,Wise,Lenowisco,0,0,0
03/24/2020,51197,Wythe,"Mount Rogers",0,0,0
03/24/2020,51199,York,Peninsula,6,1,1
03/24/2020,51510,Alexandria,Alexandria,8,0,0
03/24/2020,51520,Bristol,"Mount Rogers",0,0,0
03/24/2020,51530,"Buena Vista City","Central Shenandoah",0,0,0
03/24/2020,51540,Charlottesville,"Thomas Jefferson",5,0,0
03/24/2020,51550,Chesapeake,Chesapeake,1,1,0
03/24/2020,51570,"Colonial Heights",Chesterfield,0,0,0
03/24/2020,51580,Covington,Alleghany,0,0,0
03/24/2020,51590,Danville,Pittsylvania-Danville,1,1,0
03/24/2020,51595,Emporia,Crater,0,0,0
03/24/2020,51600,"Fairfax City",Fairfax,0,0,0
03/24/2020,51610,"Falls Church",Fairfax,0,0,0
03/24/2020,51620,"Franklin City","Western Tidewater",0,0,0
03/24/2020,51630,Fredericksburg,Rappahannock,0,0,0
03/24/2020,51640,Galax,"Mount Rogers",0,0,0
03/24/2020,51650,Hampton,Hampton,0,0,0
03/24/2020,51660,Harrisonburg,"Central Shenandoah",1,0,0
03/24/2020,51670,Hopewell,Crater,0,0,0
03/24/2020,51678,Lexington,"Central Shenandoah",0,0,0
03/24/2020,51680,Lynchburg,"Central Virginia",0,0,0
03/24/2020,51683,"Manassas City","Prince William",0,0,0
03/24/2020,51685,"Manassas Park","Prince William",0,0,0
03/24/2020,51690,Martinsville,"West Piedmont",0,0,0
03/24/2020,51700,"Newport News",Peninsula,3,3,1
03/24/2020,51710,Norfolk,Norfolk,5,0,0
03/24/2020,51720,Norton,Lenowisco,0,0,0
03/24/2020,51730,Petersburg,Crater,0,0,0
03/24/2020,51735,Poquoson,Peninsula,0,0,0
03/24/2020,51740,Portsmouth,Portsmouth,3,1,0
03/24/2020,51750,Radford,"New River",0,0,0
03/24/2020,51760,"Richmond City",Richmond,11,0,0
03/24/2020,51770,"Roanoke City",Roanoke,0,0,0
03/24/2020,51775,Salem,Alleghany,0,0,0
03/24/2020,51790,Staunton,"Central Shenandoah",0,0,0
03/24/2020,51800,Suffolk,"Western Tidewater",1,0,0
03/24/2020,51810,"Virginia Beach","Virginia Beach",17,3,0
03/24/2020,51820,Waynesboro,"Central Shenandoah",0,0,0
03/24/2020,51830,Williamsburg,Peninsula,5,1,1
03/24/2020,51840,Winchester,"Lord Fairfax",0,0,0
03/25/2020,51001,Accomack,"Eastern Shore",1,0,0
03/25/2020,51003,Albemarle,"Thomas Jefferson",4,0,0
03/25/2020,51005,Alleghany,Alleghany,0,0,0
03/25/2020,51007,Amelia,Piedmont,0,0,0
03/25/2020,51009,Amherst,"Central Virginia",1,0,0
03/25/2020,51011,Appomattox,"Central Virginia",0,0,0
03/25/2020,51013,Arlington,Arlington,46,4,0
03/25/2020,51015,Augusta,"Central Shenandoah",0,0,0
03/25/2020,51017,Bath,"Central Shenandoah",0,0,0
03/25/2020,51019,Bedford,"Central Virginia",2,0,0
03/25/2020,51021,Bland,"Mount Rogers",0,0,0
03/25/2020,51023,Botetourt,Alleghany,1,1,0
03/25/2020,51025,Brunswick,Southside,0,0,0
03/25/2020,51027,Buchanan,"Cumberland Plateau",0,0,0
03/25/2020,51029,Buckingham,Piedmont,0,0,0
03/25/2020,51031,Campbell,"Central Virginia",0,0,0
03/25/2020,51033,Caroline,Rappahannock,0,0,0
03/25/2020,51035,Carroll,"Mount Rogers",0,0,0
03/25/2020,51036,"Charles City",Chickahominy,1,0,0
03/25/2020,51037,Charlotte,Piedmont,0,0,0
03/25/2020,51041,Chesterfield,Chesterfield,11,2,0
03/25/2020,51043,Clarke,"Lord Fairfax",0,0,0
03/25/2020,51045,Craig,Alleghany,0,0,0
03/25/2020,51047,Culpeper,"Rappahannock Rapidan",2,0,0
03/25/2020,51049,Cumberland,Piedmont,0,0,0
03/25/2020,51051,Dickenson,"Cumberland Plateau",0,0,0
03/25/2020,51053,Dinwiddie,Crater,0,0,0
03/25/2020,51057,Essex,"Three Rivers",0,0,0
03/25/2020,51059,Fairfax,Fairfax,76,9,1
03/25/2020,51061,Fauquier,"Rappahannock Rapidan",0,0,0
03/25/2020,51063,Floyd,"New River",0,0,0
03/25/2020,51065,Fluvanna,"Thomas Jefferson",1,0,0
03/25/2020,51067,"Franklin County","West Piedmont",1,0,0
03/25/2020,51069,Frederick,"Lord Fairfax",2,2,0
03/25/2020,51071,Giles,"New River",0,0,0
03/25/2020,51073,Gloucester,"Three Rivers",2,0,0
03/25/2020,51075,Goochland,Chickahominy,3,0,0
03/25/2020,51077,Grayson,"Mount Rogers",0,0,0
03/25/2020,51079,Greene,"Thomas Jefferson",0,0,0
03/25/2020,51081,Greensville,Crater,0,0,0
03/25/2020,51083,Halifax,Southside,1,0,0
03/25/2020,51085,Hanover,Chickahominy,2,1,0
03/25/2020,51087,Henrico,Henrico,20,6,2
03/25/2020,51089,Henry,"West Piedmont",0,0,0
03/25/2020,51091,Highland,"Central Shenandoah",0,0,0
03/25/2020,51093,"Isle of Wight","Western Tidewater",2,1,0
03/25/2020,51095,"James City",Peninsula,41,8,2
03/25/2020,51097,"King and Queen","Three Rivers",0,0,0
03/25/2020,51099,"King George",Rappahannock,0,0,0
03/25/2020,51101,"King William","Three Rivers",0,0,0
03/25/2020,51103,Lancaster,"Three Rivers",0,0,0
03/25/2020,51105,Lee,Lenowisco,2,0,0
03/25/2020,51107,Loudoun,Loudoun,20,5,0
03/25/2020,51109,Louisa,"Thomas Jefferson",3,0,0
03/25/2020,51111,Lunenburg,Piedmont,0,0,0
03/25/2020,51113,Madison,"Rappahannock Rapidan",1,0,0
03/25/2020,51115,Mathews,"Three Rivers",1,0,0
03/25/2020,51117,Mecklenburg,Southside,3,1,0
03/25/2020,51119,Middlesex,"Three Rivers",0,0,0
03/25/2020,51121,Montgomery,"New River",0,0,0
03/25/2020,51125,Nelson,"Thomas Jefferson",1,0,0
03/25/2020,51127,"New Kent",Chickahominy,0,0,0
03/25/2020,51131,Northampton,"Eastern Shore",0,0,0
03/25/2020,51133,Northumberland,"Three Rivers",0,0,0
03/25/2020,51135,Nottoway,Piedmont,1,0,0
03/25/2020,51137,Orange,"Rappahannock Rapidan",1,0,0
03/25/2020,51139,Page,"Lord Fairfax",0,0,0
03/25/2020,51141,Patrick,"West Piedmont",0,0,0
03/25/2020,51143,Pittsylvania,Pittsylvania-Danville,0,0,0
03/25/2020,51145,Powhatan,Chesterfield,0,0,0
03/25/2020,51147,"Prince Edward",Piedmont,2,0,0
03/25/2020,51149,"Prince George",Crater,0,0,0
03/25/2020,51153,"Prince William","Prince William",32,6,0
03/25/2020,51155,Pulaski,"New River",0,0,0
03/25/2020,51157,Rappahannock,"Rappahannock Rapidan",0,0,0
03/25/2020,51159,"Richmond County","Three Rivers",0,0,0
03/25/2020,51161,"Roanoke County",Alleghany,1,0,0
03/25/2020,51163,Rockbridge,"Central Shenandoah",1,0,0
03/25/2020,51165,Rockingham,"Central Shenandoah",2,0,0
03/25/2020,51167,Russell,"Cumberland Plateau",0,0,0
03/25/2020,51169,Scott,Lenowisco,0,0,0
03/25/2020,51171,Shenandoah,"Lord Fairfax",3,1,0
03/25/2020,51173,Smyth,"Mount Rogers",0,0,0
03/25/2020,51175,Southampton,"Western Tidewater",0,0,0
03/25/2020,51177,Spotsylvania,Rappahannock,3,0,0
03/25/2020,51179,Stafford,Rappahannock,6,0,0
03/25/2020,51181,Surry,Crater,0,0,0
03/25/2020,51183,Sussex,Crater,0,0,0
03/25/2020,51185,Tazewell,"Cumberland Plateau",0,0,0
03/25/2020,51187,Warren,"Lord Fairfax",0,0,0
03/25/2020,51191,Washington,"Mount Rogers",0,0,0
03/25/2020,51193,Westmoreland,"Three Rivers",0,0,0
03/25/2020,51195,Wise,Lenowisco,0,0,0
03/25/2020,51197,Wythe,"Mount Rogers",0,0,0
03/25/2020,51199,York,Peninsula,8,1,1
03/25/2020,51510,Alexandria,Alexandria,9,0,0
03/25/2020,51520,Bristol,"Mount Rogers",0,0,0
03/25/2020,51530,"Buena Vista City","Central Shenandoah",0,0,0
03/25/2020,51540,Charlottesville,"Thomas Jefferson",6,0,0
03/25/2020,51550,Chesapeake,Chesapeake,3,1,0
03/25/2020,51570,"Colonial Heights",Chesterfield,0,0,0
03/25/2020,51580,Covington,Alleghany,0,0,0
03/25/2020,51590,Danville,Pittsylvania-Danville,2,1,0
03/25/2020,51595,Emporia,Crater,0,0,0
03/25/2020,51600,"Fairfax City",Fairfax,1,0,0
03/25/2020,51610,"Falls Church",Fairfax,0,0,0
03/25/2020,51620,"Franklin City","Western Tidewater",0,0,0
03/25/2020,51630,Fredericksburg,Rappahannock,1,0,0
03/25/2020,51640,Galax,"Mount Rogers",0,0,0
03/25/2020,51650,Hampton,Hampton,0,0,0
03/25/2020,51660,Harrisonburg,"Central Shenandoah",2,0,0
03/25/2020,51670,Hopewell,Crater,0,0,0
03/25/2020,51678,Lexington,"Central Shenandoah",0,0,0
03/25/2020,51680,Lynchburg,"Central Virginia",0,0,0
03/25/2020,51683,"Manassas City","Prince William",2,0,0
03/25/2020,51685,"Manassas Park","Prince William",0,0,0
03/25/2020,51690,Martinsville,"West Piedmont",0,0,0
03/25/2020,51700,"Newport News",Peninsula,4,3,1
03/25/2020,51710,Norfolk,Norfolk,5,0,0
03/25/2020,51720,Norton,Lenowisco,0,0,0
03/25/2020,51730,Petersburg,Crater,0,0,0
03/25/2020,51735,Poquoson,Peninsula,0,0,0
03/25/2020,51740,Portsmouth,Portsmouth,3,1,0
03/25/2020,51750,Radford,"New River",0,0,0
03/25/2020,51760,"Richmond City",Richmond,13,0,0
03/25/2020,51770,"Roanoke City",Roanoke,0,0,0
03/25/2020,51775,Salem,Alleghany,0,0,0
03/25/2020,51790,Staunton,"Central Shenandoah",0,0,0
03/25/2020,51800,Suffolk,"Western Tidewater",1,0,0
03/25/2020,51810,"Virginia Beach","Virginia Beach",23,4,1
03/25/2020,51820,Waynesboro,"Central Shenandoah",0,0,0
03/25/2020,51830,Williamsburg,Peninsula,5,1,1
03/25/2020,51840,Winchester,"Lord Fairfax",0,0,0
03/26/2020,51001,Accomack,"Eastern Shore",2,0,0
03/26/2020,51003,Albemarle,"Thomas Jefferson",6,0,0
03/26/2020,51005,Alleghany,Alleghany,0,0,0
03/26/2020,51007,Amelia,Piedmont,1,1,0
03/26/2020,51009,Amherst,"Central Virginia",1,0,0
03/26/2020,51011,Appomattox,"Central Virginia",0,0,0
03/26/2020,51013,Arlington,Arlington,54,4,0
03/26/2020,51015,Augusta,"Central Shenandoah",0,0,0
03/26/2020,51017,Bath,"Central Shenandoah",0,0,0
03/26/2020,51019,Bedford,"Central Virginia",2,0,0
03/26/2020,51021,Bland,"Mount Rogers",0,0,0
03/26/2020,51023,Botetourt,Alleghany,1,1,0
03/26/2020,51025,Brunswick,Southside,0,0,0
03/26/2020,51027,Buchanan,"Cumberland Plateau",0,0,0
03/26/2020,51029,Buckingham,Piedmont,0,0,0
03/26/2020,51031,Campbell,"Central Virginia",0,0,0
03/26/2020,51033,Caroline,Rappahannock,0,0,0
03/26/2020,51035,Carroll,"Mount Rogers",0,0,0
03/26/2020,51036,"Charles City",Chickahominy,1,0,0
03/26/2020,51037,Charlotte,Piedmont,0,0,0
03/26/2020,51041,Chesterfield,Chesterfield,12,2,0
03/26/2020,51043,Clarke,"Lord Fairfax",0,0,0
03/26/2020,51045,Craig,Alleghany,0,0,0
03/26/2020,51047,Culpeper,"Rappahannock Rapidan",2,0,0
03/26/2020,51049,Cumberland,Piedmont,0,0,0
03/26/2020,51051,Dickenson,"Cumberland Plateau",0,0,0
03/26/2020,51053,Dinwiddie,Crater,0,0,0
03/26/2020,51057,Essex,"Three Rivers",0,0,0
03/26/2020,51059,Fairfax,Fairfax,79,9,1
03/26/2020,51061,Fauquier,"Rappahannock Rapidan",1,0,0
03/26/2020,51063,Floyd,"New River",0,0,0
03/26/2020,51065,Fluvanna,"Thomas Jefferson",3,0,0
03/26/2020,51067,"Franklin County","West Piedmont",1,0,0
03/26/2020,51069,Frederick,"Lord Fairfax",2,2,0
03/26/2020,51071,Giles,"New River",0,0,0
03/26/2020,51073,Gloucester,"Three Rivers",2,0,0
03/26/2020,51075,Goochland,Chickahominy,3,0,0
03/26/2020,51077,Grayson,"Mount Rogers",0,0,0
03/26/2020,51079,Greene,"Thomas Jefferson",0,0,0
03/26/2020,51081,Greensville,Crater,0,0,0
03/26/2020,51083,Halifax,Southside,1,0,0
03/26/2020,51085,Hanover,Chickahominy,2,1,0
03/26/2020,51087,Henrico,Henrico,21,6,3
03/26/2020,51089,Henry,"West Piedmont",0,0,0
03/26/2020,51091,Highland,"Central Shenandoah",0,0,0
03/26/2020,51093,"Isle of Wight","Western Tidewater",2,1,0
03/26/2020,51095,"James City",Peninsula,49,10,3
03/26/2020,51097,"King and Queen","Three Rivers",0,0,0
03/26/2020,51099,"King George",Rappahannock,0,0,0
03/26/2020,51101,"King William","Three Rivers",0,0,0
03/26/2020,51103,Lancaster,"Three Rivers",0,0,0
03/26/2020,51105,Lee,Lenowisco,2,0,0
03/26/2020,51107,Loudoun,Loudoun,28,5,0
03/26/2020,51109,Louisa,"Thomas Jefferson",4,0,0
03/26/2020,51111,Lunenburg,Piedmont,0,0,0
03/26/2020,51113,Madison,"Rappahannock Rapidan",1,0,0
03/26/2020,51115,Mathews,"Three Rivers",1,0,0
03/26/2020,51117,Mecklenburg,Southside,3,1,0
03/26/2020,51119,Middlesex,"Three Rivers",0,0,0
03/26/2020,51121,Montgomery,"New River",0,0,0
03/26/2020,51125,Nelson,"Thomas Jefferson",1,0,0
03/26/2020,51127,"New Kent",Chickahominy,0,0,0
03/26/2020,51131,Northampton,"Eastern Shore",0,0,0
03/26/2020,51133,Northumberland,"Three Rivers",0,0,0
03/26/2020,51135,Nottoway,Piedmont,1,0,0
03/26/2020,51137,Orange,"Rappahannock Rapidan",1,0,0
03/26/2020,51139,Page,"Lord Fairfax",0,0,0
03/26/2020,51141,Patrick,"West Piedmont",0,0,0
03/26/2020,51143,Pittsylvania,Pittsylvania-Danville,1,1,1
03/26/2020,51145,Powhatan,Chesterfield,0,0,0
03/26/2020,51147,"Prince Edward",Piedmont,2,0,0
03/26/2020,51149,"Prince George",Crater,0,0,0
03/26/2020,51153,"Prince William","Prince William",36,6,0
03/26/2020,51155,Pulaski,"New River",0,0,0
03/26/2020,51157,Rappahannock,"Rappahannock Rapidan",0,0,0
03/26/2020,51159,"Richmond County","Three Rivers",0,0,0
03/26/2020,51161,"Roanoke County",Alleghany,1,0,0
03/26/2020,51163,Rockbridge,"Central Shenandoah",1,0,0
03/26/2020,51165,Rockingham,"Central Shenandoah",2,0,0
03/26/2020,51167,Russell,"Cumberland Plateau",0,0,0
03/26/2020,51169,Scott,Lenowisco,0,0,0
03/26/2020,51171,Shenandoah,"Lord Fairfax",3,1,0
03/26/2020,51173,Smyth,"Mount Rogers",0,0,0
03/26/2020,51175,Southampton,"Western Tidewater",0,0,0
03/26/2020,51177,Spotsylvania,Rappahannock,2,0,0
03/26/2020,51179,Stafford,Rappahannock,7,0,0
03/26/2020,51181,Surry,Crater,0,0,0
03/26/2020,51183,Sussex,Crater,0,0,0
03/26/2020,51185,Tazewell,"Cumberland Plateau",0,0,0
03/26/2020,51187,Warren,"Lord Fairfax",1,0,0
03/26/2020,51191,Washington,"Mount Rogers",1,0,0
03/26/2020,51193,Westmoreland,"Three Rivers",0,0,0
03/26/2020,51195,Wise,Lenowisco,0,0,0
03/26/2020,51197,Wythe,"Mount Rogers",0,0,0
03/26/2020,51199,York,Peninsula,9,1,1
03/26/2020,51510,Alexandria,Alexandria,14,0,0
03/26/2020,51520,Bristol,"Mount Rogers",0,0,0
03/26/2020,51530,"Buena Vista City","Central Shenandoah",0,0,0
03/26/2020,51540,Charlottesville,"Thomas Jefferson",9,0,0
03/26/2020,51550,Chesapeake,Chesapeake,4,1,0
03/26/2020,51570,"Colonial Heights",Chesterfield,0,0,0
03/26/2020,51580,Covington,Alleghany,0,0,0
03/26/2020,51590,Danville,Pittsylvania-Danville,2,1,0
03/26/2020,51595,Emporia,Crater,0,0,0
03/26/2020,51600,"Fairfax City",Fairfax,1,0,0
03/26/2020,51610,"Falls Church",Fairfax,0,0,0
03/26/2020,51620,"Franklin City","Western Tidewater",0,0,0
03/26/2020,51630,Fredericksburg,Rappahannock,1,0,0
03/26/2020,51640,Galax,"Mount Rogers",0,0,0
03/26/2020,51650,Hampton,Hampton,1,0,0
03/26/2020,51660,Harrisonburg,"Central Shenandoah",3,0,0
03/26/2020,51670,Hopewell,Crater,0,0,0
03/26/2020,51678,Lexington,"Central Shenandoah",0,0,0
03/26/2020,51680,Lynchburg,"Central Virginia",1,0,0
03/26/2020,51683,"Manassas City","Prince William",3,0,0
03/26/2020,51685,"Manassas Park","Prince William",0,0,0
03/26/2020,51690,Martinsville,"West Piedmont",0,0,0
03/26/2020,51700,"Newport News",Peninsula,8,3,2
03/26/2020,51710,Norfolk,Norfolk,6,1,0
03/26/2020,51720,Norton,Lenowisco,0,0,0
03/26/2020,51730,Petersburg,Crater,0,0,0
03/26/2020,51735,Poquoson,Peninsula,1,0,0
03/26/2020,51740,Portsmouth,Portsmouth,3,1,0
03/26/2020,51750,Radford,"New River",1,0,0
03/26/2020,51760,"Richmond City",Richmond,14,1,0
03/26/2020,51770,"Roanoke City",Roanoke,0,0,0
03/26/2020,51775,Salem,Alleghany,0,0,0
03/26/2020,51790,Staunton,"Central Shenandoah",0,0,0
03/26/2020,51800,Suffolk,"Western Tidewater",1,0,0
03/26/2020,51810,"Virginia Beach","Virginia Beach",26,4,1
03/26/2020,51820,Waynesboro,"Central Shenandoah",0,0,0
03/26/2020,51830,Williamsburg,Peninsula,5,1,1
03/26/2020,51840,Winchester,"Lord Fairfax",0,0,0
03/27/2020,51001,Accomack,"Eastern Shore",2,0,0
03/27/2020,51003,Albemarle,"Thomas Jefferson",8,0,0
03/27/2020,51005,Alleghany,Alleghany,0,0,0
03/27/2020,51007,Amelia,Piedmont,1,1,0
03/27/2020,51009,Amherst,"Central Virginia",1,0,0
03/27/2020,51011,Appomattox,"Central Virginia",0,0,0
03/27/2020,51013,Arlington,Arlington,63,4,0
03/27/2020,51015,Augusta,"Central Shenandoah",0,0,0
03/27/2020,51017,Bath,"Central Shenandoah",0,0,0
03/27/2020,51019,Bedford,"Central Virginia",2,0,0
03/27/2020,51021,Bland,"Mount Rogers",0,0,0
03/27/2020,51023,Botetourt,Alleghany,1,1,0
03/27/2020,51025,Brunswick,Southside,0,0,0
03/27/2020,51027,Buchanan,"Cumberland Plateau",0,0,0
03/27/2020,51029,Buckingham,Piedmont,0,0,0
03/27/2020,51031,Campbell,"Central Virginia",0,0,0
03/27/2020,51033,Caroline,Rappahannock,0,0,0
03/27/2020,51035,Carroll,"Mount Rogers",0,0,0
03/27/2020,51036,"Charles City",Chickahominy,1,0,0
03/27/2020,51037,Charlotte,Piedmont,0,0,0
03/27/2020,51041,Chesterfield,Chesterfield,12,2,0
03/27/2020,51043,Clarke,"Lord Fairfax",0,0,0
03/27/2020,51045,Craig,Alleghany,0,0,0
03/27/2020,51047,Culpeper,"Rappahannock Rapidan",2,0,0
03/27/2020,51049,Cumberland,Piedmont,0,0,0
03/27/2020,51051,Dickenson,"Cumberland Plateau",0,0,0
03/27/2020,51053,Dinwiddie,Crater,0,0,0
03/27/2020,51057,Essex,"Three Rivers",0,0,0
03/27/2020,51059,Fairfax,Fairfax,124,12,1
03/27/2020,51061,Fauquier,"Rappahannock Rapidan",4,0,0
03/27/2020,51063,Floyd,"New River",0,0,0
03/27/2020,51065,Fluvanna,"Thomas Jefferson",3,0,0
03/27/2020,51067,"Franklin County","West Piedmont",1,0,0
03/27/2020,51069,Frederick,"Lord Fairfax",4,2,0
03/27/2020,51071,Giles,"New River",0,0,0
03/27/2020,51073,Gloucester,"Three Rivers",3,0,0
03/27/2020,51075,Goochland,Chickahominy,3,0,0
03/27/2020,51077,Grayson,"Mount Rogers",0,0,0
03/27/2020,51079,Greene,"Thomas Jefferson",1,0,0
03/27/2020,51081,Greensville,Crater,0,0,0
03/27/2020,51083,Halifax,Southside,1,0,0
03/27/2020,51085,Hanover,Chickahominy,2,1,0
03/27/2020,51087,Henrico,Henrico,28,7,3
03/27/2020,51089,Henry,"West Piedmont",0,0,0
03/27/2020,51091,Highland,"Central Shenandoah",0,0,0
03/27/2020,51093,"Isle of Wight","Western Tidewater",2,1,0
03/27/2020,51095,"James City",Peninsula,55,11,3
03/27/2020,51097,"King and Queen","Three Rivers",0,0,0
03/27/2020,51099,"King George",Rappahannock,1,0,0
03/27/2020,51101,"King William","Three Rivers",0,0,0
03/27/2020,51103,Lancaster,"Three Rivers",0,0,0
03/27/2020,51105,Lee,Lenowisco,2,0,0
03/27/2020,51107,Loudoun,Loudoun,43,6,1
03/27/2020,51109,Louisa,"Thomas Jefferson",5,0,0
03/27/2020,51111,Lunenburg,Piedmont,0,0,0
03/27/2020,51113,Madison,"Rappahannock Rapidan",2,0,0
03/27/2020,51115,Mathews,"Three Rivers",1,0,0
03/27/2020,51117,Mecklenburg,Southside,4,1,0
03/27/2020,51119,Middlesex,"Three Rivers",0,0,0
03/27/2020,51121,Montgomery,"New River",0,0,0
03/27/2020,51125,Nelson,"Thomas Jefferson",1,0,0
03/27/2020,51127,"New Kent",Chickahominy,0,0,0
03/27/2020,51131,Northampton,"Eastern Shore",1,0,0
03/27/2020,51133,Northumberland,"Three Rivers",0,0,0
03/27/2020,51135,Nottoway,Piedmont,1,0,0
03/27/2020,51137,Orange,"Rappahannock Rapidan",1,0,0
03/27/2020,51139,Page,"Lord Fairfax",0,0,0
03/27/2020,51141,Patrick,"West Piedmont",0,0,0
03/27/2020,51143,Pittsylvania,Pittsylvania-Danville,1,1,1
03/27/2020,51145,Powhatan,Chesterfield,0,0,0
03/27/2020,51147,"Prince Edward",Piedmont,2,0,0
03/27/2020,51149,"Prince George",Crater,2,1,0
03/27/2020,51153,"Prince William","Prince William",44,10,0
03/27/2020,51155,Pulaski,"New River",0,0,0
03/27/2020,51157,Rappahannock,"Rappahannock Rapidan",0,0,0
03/27/2020,51159,"Richmond County","Three Rivers",0,0,0
