"Event Date","Case Status","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-15,Confirmed,25,0,2
2020-05-15,Probable,2,0,0
2020-05-14,Confirmed,54,4,7
2020-05-14,Probable,2,0,1
2020-05-13,Confirmed,186,18,7
2020-05-13,Probable,6,0,1
2020-05-12,Confirmed,514,31,12
2020-05-12,Probable,6,0,0
2020-05-11,Confirmed,589,38,24
2020-05-11,Probable,8,1,0
2020-05-10,Confirmed,301,48,20
2020-05-10,Probable,9,0,0
2020-05-09,Confirmed,419,43,12
2020-05-09,Probable,14,0,0
2020-05-08,Confirmed,704,53,27
2020-05-08,Probable,17,0,0
2020-05-07,Confirmed,642,52,26
2020-05-07,Probable,12,0,0
2020-05-06,Confirmed,674,64,19
2020-05-06,Probable,35,0,1
2020-05-05,Confirmed,748,66,32
2020-05-05,Probable,27,0,1
2020-05-04,Confirmed,859,74,19
2020-05-04,Probable,35,1,0
2020-05-03,Confirmed,484,71,17
2020-05-03,Probable,24,0,2
2020-05-02,Confirmed,565,56,27
2020-05-02,Probable,23,3,1
2020-05-01,Confirmed,926,76,19
2020-05-01,Probable,50,0,0
2020-04-30,Confirmed,779,70,36
2020-04-30,Probable,50,0,0
2020-04-29,Confirmed,773,66,21
2020-04-29,Probable,34,2,2
2020-04-28,Confirmed,758,75,30
2020-04-28,Probable,36,1,0
2020-04-27,Confirmed,824,79,21
2020-04-27,Probable,36,2,0
2020-04-26,Confirmed,587,54,24
2020-04-26,Probable,26,0,3
2020-04-25,Confirmed,567,52,20
2020-04-25,Probable,44,1,3
2020-04-24,Confirmed,821,74,25
2020-04-24,Probable,45,0,2
2020-04-23,Confirmed,727,60,19
2020-04-23,Probable,40,0,2
2020-04-22,Confirmed,708,62,26
2020-04-22,Probable,40,0,0
2020-04-21,Confirmed,641,90,27
2020-04-21,Probable,27,2,2
2020-04-20,Confirmed,791,82,16
2020-04-20,Probable,56,1,3
2020-04-19,Confirmed,431,58,33
2020-04-19,Probable,30,1,0
2020-04-18,Confirmed,397,63,21
2020-04-18,Probable,23,1,0
2020-04-17,Confirmed,632,61,28
2020-04-17,Probable,39,1,2
2020-04-16,Confirmed,572,69,29
2020-04-16,Probable,19,0,0
2020-04-15,Confirmed,479,75,22
2020-04-15,Probable,24,0,0
2020-04-14,Confirmed,565,59,24
2020-04-14,Probable,31,0,0
2020-04-13,Confirmed,604,86,25
2020-04-13,Probable,46,2,2
2020-04-12,Confirmed,387,65,20
2020-04-12,Probable,33,0,1
2020-04-11,Confirmed,341,50,14
2020-04-11,Probable,30,0,0
2020-04-10,Confirmed,512,61,21
2020-04-10,Probable,36,0,0
2020-04-09,Confirmed,405,72,12
2020-04-09,Probable,23,0,0
2020-04-08,Confirmed,429,58,11
2020-04-08,Probable,33,0,1
2020-04-07,Confirmed,405,60,14
2020-04-07,Probable,17,0,0
2020-04-06,Confirmed,462,80,16
2020-04-06,Probable,39,0,0
2020-04-05,Confirmed,289,59,10
2020-04-05,Probable,26,0,0
2020-04-04,Confirmed,296,58,8
2020-04-04,Probable,16,0,0
2020-04-03,Confirmed,328,61,11
2020-04-03,Probable,16,1,0
2020-04-02,Confirmed,313,55,9
2020-04-02,Probable,17,0,0
2020-04-01,Confirmed,310,70,10
2020-04-01,Probable,27,0,1
2020-03-31,Confirmed,283,50,10
2020-03-31,Probable,12,0,1
2020-03-30,Confirmed,374,66,6
2020-03-30,Probable,25,0,0
2020-03-29,Confirmed,186,65,7
2020-03-29,Probable,10,0,0
2020-03-28,Confirmed,220,64,8
2020-03-28,Probable,7,0,0
2020-03-27,Confirmed,243,57,9
2020-03-27,Probable,4,0,0
2020-03-26,Confirmed,253,49,4
2020-03-26,Probable,11,0,1
2020-03-25,Confirmed,247,54,4
2020-03-25,Probable,7,0,0
2020-03-24,Confirmed,230,52,3
2020-03-24,Probable,14,0,0
2020-03-23,Confirmed,247,42,1
2020-03-23,Probable,17,0,0
2020-03-22,Confirmed,165,23,4
2020-03-22,Probable,6,0,0
2020-03-21,Confirmed,173,28,4
2020-03-21,Probable,8,0,0
2020-03-20,Confirmed,204,19,1
2020-03-20,Probable,9,0,0
2020-03-19,Confirmed,179,17,0
2020-03-19,Probable,8,0,0
2020-03-18,Confirmed,201,15,0
2020-03-18,Probable,7,0,0
2020-03-17,Confirmed,179,13,0
2020-03-17,Probable,11,0,0
2020-03-16,Confirmed,185,11,0
2020-03-16,Probable,7,0,0
2020-03-15,Confirmed,113,9,1
2020-03-15,Probable,6,0,0
2020-03-14,Confirmed,133,6,1
2020-03-14,Probable,6,0,0
2020-03-13,Confirmed,108,6,0
2020-03-13,Probable,5,0,0
2020-03-12,Confirmed,100,5,0
2020-03-12,Probable,3,0,0
2020-03-11,Confirmed,72,4,0
2020-03-11,Probable,5,0,0
2020-03-10,Confirmed,65,2,0
2020-03-10,Probable,2,0,0
2020-03-09,Confirmed,46,3,0
2020-03-09,Probable,4,0,0
2020-03-08,Confirmed,20,0,0
2020-03-08,Probable,1,0,0
2020-03-07,Confirmed,22,1,0
2020-03-07,Probable,1,0,0
2020-03-06,Confirmed,25,1,0
2020-03-06,Probable,1,0,0
2020-03-05,Confirmed,13,1,0
2020-03-04,Confirmed,20,0,0
2020-03-04,Probable,1,0,0
2020-03-03,Confirmed,14,0,0
2020-03-03,Probable,1,0,0
2020-03-02,Confirmed,14,0,0
2020-03-02,Probable,2,0,0
2020-03-01,Confirmed,12,0,0
2020-03-01,Probable,3,0,0
2020-02-29,Confirmed,4,0,0
2020-02-29,Probable,1,0,0
2020-02-28,Confirmed,5,0,0
2020-02-27,Confirmed,1,0,0
2020-02-26,Confirmed,4,1,0
2020-02-26,Probable,1,0,0
2020-02-25,Probable,1,0,0
2020-02-24,Confirmed,5,0,0
2020-02-23,Confirmed,2,0,0
2020-02-23,Probable,1,0,0
2020-02-19,Confirmed,1,0,0
2020-02-18,Confirmed,2,1,0
2020-02-17,Probable,1,0,0
2020-02-16,Confirmed,1,0,0