"Date VDH Notified","Health Region","Facility Type Group","Number of Outbreaks"
03/10/2020,Eastern,"Congregate Setting",1
03/10/2020,Northern,"College / University",1
03/13/2020,Central,"Congregate Setting",1
03/16/2020,Central,"College / University",1
03/16/2020,Southwest,"Congregate Setting",1
03/17/2020,Central,"Long Term Care Facilities",1
03/17/2020,Eastern,"Congregate Setting",1
03/17/2020,Northern,"Long Term Care Facilities",1
03/20/2020,Central,"Congregate Setting",1
03/20/2020,Northern,"Long Term Care Facilities",1
03/23/2020,Central,"Congregate Setting",1
03/23/2020,Northwest,"College / University",1
03/25/2020,Central,"Congregate Setting",1
03/26/2020,Central,"Healthcare Setting",1
03/26/2020,Northwest,"Congregate Setting",1
03/27/2020,Northern,"Long Term Care Facilities",1
03/27/2020,Southwest,"Congregate Setting",1
03/28/2020,Central,"Long Term Care Facilities",3
03/28/2020,Eastern,"Long Term Care Facilities",1
03/28/2020,Northern,"Healthcare Setting",2
03/28/2020,Northern,"Long Term Care Facilities",2
03/28/2020,Northwest,"Healthcare Setting",1
03/29/2020,Northern,"Long Term Care Facilities",1
03/29/2020,Southwest,"Healthcare Setting",1
03/30/2020,Eastern,"Long Term Care Facilities",1
03/30/2020,Northwest,"Long Term Care Facilities",1
03/31/2020,Central,"Long Term Care Facilities",1
03/31/2020,Eastern,"Congregate Setting",1
03/31/2020,Eastern,"Healthcare Setting",1
03/31/2020,Eastern,"Long Term Care Facilities",3
04/01/2020,Central,"Long Term Care Facilities",1
04/01/2020,Eastern,"Long Term Care Facilities",1
04/01/2020,Northwest,"Correctional Facility",1
04/01/2020,Northwest,"Healthcare Setting",2
04/02/2020,Central,"Long Term Care Facilities",1
04/02/2020,Eastern,"Healthcare Setting",1
04/02/2020,Northern,"Healthcare Setting",1
04/02/2020,Northwest,"Healthcare Setting",1
04/03/2020,Central,"Correctional Facility",2
04/03/2020,Central,"Long Term Care Facilities",2
04/03/2020,Northern,"Congregate Setting",1
04/03/2020,Northern,"Long Term Care Facilities",1
04/03/2020,Southwest,"Congregate Setting",2
04/03/2020,Southwest,"Long Term Care Facilities",1
04/04/2020,Central,"Long Term Care Facilities",1
04/04/2020,Eastern,"Correctional Facility",1
04/04/2020,Northern,"Long Term Care Facilities",1
04/05/2020,Central,"Long Term Care Facilities",3
04/05/2020,Eastern,"Long Term Care Facilities",1
04/06/2020,Central,"Correctional Facility",1
04/06/2020,Eastern,"Correctional Facility",2
04/06/2020,Eastern,"Long Term Care Facilities",1
04/06/2020,Northern,"Long Term Care Facilities",1
04/06/2020,Northwest,"Long Term Care Facilities",1
04/07/2020,Central,"Congregate Setting",1
04/07/2020,Central,"Long Term Care Facilities",1
04/07/2020,Northern,"Long Term Care Facilities",3
04/08/2020,Central,"Long Term Care Facilities",2
04/08/2020,Eastern,"Long Term Care Facilities",1
04/08/2020,Northern,"Long Term Care Facilities",3
04/08/2020,Northwest,"Congregate Setting",1
04/08/2020,Northwest,"Healthcare Setting",1
04/08/2020,Northwest,"Long Term Care Facilities",2
04/09/2020,Central,"Long Term Care Facilities",1
04/09/2020,Eastern,"Long Term Care Facilities",1
04/09/2020,Northern,"Long Term Care Facilities",9
04/10/2020,Central,"Correctional Facility",1
04/10/2020,Central,"Healthcare Setting",1
04/10/2020,Central,"Long Term Care Facilities",1
04/10/2020,Eastern,"Congregate Setting",1
04/10/2020,Northern,"Congregate Setting",1
04/10/2020,Northern,"Correctional Facility",1
04/10/2020,Northern,"Long Term Care Facilities",2
04/10/2020,Southwest,"Healthcare Setting",2
04/10/2020,Southwest,K-12,1
04/11/2020,Eastern,"Long Term Care Facilities",1
04/11/2020,Northern,"Child Care",1
04/11/2020,Northern,"Long Term Care Facilities",2
04/12/2020,Central,"Congregate Setting",1
04/12/2020,Central,"Long Term Care Facilities",1
04/13/2020,Eastern,"Congregate Setting",2
04/13/2020,Eastern,"Long Term Care Facilities",1
04/13/2020,Northern,"Long Term Care Facilities",1
04/14/2020,Central,"Long Term Care Facilities",2
04/14/2020,Northern,"Congregate Setting",1
04/14/2020,Northern,"Long Term Care Facilities",1
04/14/2020,Northwest,"Congregate Setting",6
04/14/2020,Northwest,"Long Term Care Facilities",1
04/15/2020,Eastern,"Long Term Care Facilities",2
04/15/2020,Northern,"Long Term Care Facilities",2
04/16/2020,Central,"Congregate Setting",1
04/16/2020,Eastern,"Correctional Facility",1
04/16/2020,Eastern,"Long Term Care Facilities",1
04/16/2020,Northern,"Long Term Care Facilities",2
04/16/2020,Northwest,"Congregate Setting",1
04/16/2020,Northwest,"Correctional Facility",1
04/16/2020,Southwest,"Healthcare Setting",1
04/16/2020,Southwest,"Long Term Care Facilities",1
04/17/2020,Central,"Congregate Setting",1
04/17/2020,Central,"Long Term Care Facilities",1
04/17/2020,Eastern,"Healthcare Setting",1
04/17/2020,Eastern,"Long Term Care Facilities",3
04/17/2020,Northern,"Congregate Setting",1
04/17/2020,Northern,"Long Term Care Facilities",7
04/17/2020,Northwest,"Congregate Setting",3
04/18/2020,Eastern,"College / University",1
04/18/2020,Eastern,"Congregate Setting",8
04/18/2020,Eastern,"Correctional Facility",1
04/18/2020,Northern,"Long Term Care Facilities",4
04/19/2020,Eastern,"Correctional Facility",1
04/19/2020,Northern,"Long Term Care Facilities",1
04/19/2020,Southwest,"Long Term Care Facilities",1
04/20/2020,Central,"Congregate Setting",1
04/20/2020,Central,"Long Term Care Facilities",2
04/20/2020,Northern,"Healthcare Setting",1
04/20/2020,Southwest,"Congregate Setting",1
04/21/2020,Northern,"Congregate Setting",1
04/21/2020,Northern,"Long Term Care Facilities",2
04/21/2020,Northwest,"Long Term Care Facilities",2
04/22/2020,Central,"Correctional Facility",1
04/22/2020,Central,"Long Term Care Facilities",1
04/22/2020,Eastern,"Long Term Care Facilities",1
04/22/2020,Northern,"Long Term Care Facilities",1
04/22/2020,Southwest,"Long Term Care Facilities",1
04/23/2020,Central,"Correctional Facility",1
04/23/2020,Eastern,"Congregate Setting",1
04/23/2020,Eastern,"Healthcare Setting",1
04/23/2020,Eastern,"Long Term Care Facilities",3
04/23/2020,Northern,"Child Care",1
04/23/2020,Northern,"Long Term Care Facilities",4
04/23/2020,Southwest,"Congregate Setting",1
04/24/2020,Central,"Congregate Setting",2
04/24/2020,Northern,"Long Term Care Facilities",7
04/24/2020,Southwest,"Long Term Care Facilities",2
04/26/2020,Central,"Correctional Facility",1
04/27/2020,Eastern,"Long Term Care Facilities",1
04/28/2020,Northern,"Long Term Care Facilities",1
04/28/2020,Northwest,"Long Term Care Facilities",1
04/29/2020,Central,"Long Term Care Facilities",1
04/29/2020,Eastern,"Congregate Setting",1
04/29/2020,Eastern,"Correctional Facility",1
04/29/2020,Eastern,"Long Term Care Facilities",2
04/29/2020,Northern,"Long Term Care Facilities",2
04/29/2020,Northwest,"Congregate Setting",1
04/29/2020,Southwest,"Correctional Facility",1
04/30/2020,Central,"Long Term Care Facilities",4
04/30/2020,Eastern,"Healthcare Setting",1
04/30/2020,Northern,"Long Term Care Facilities",3
04/30/2020,Northwest,"Long Term Care Facilities",1
05/01/2020,Central,"Congregate Setting",1
05/01/2020,Central,"Correctional Facility",1
05/01/2020,Central,"Healthcare Setting",1
05/01/2020,Eastern,"Long Term Care Facilities",1
05/01/2020,Northern,"Long Term Care Facilities",1
05/01/2020,Southwest,"Congregate Setting",1
05/02/2020,Eastern,"Congregate Setting",1
05/02/2020,Northern,"Long Term Care Facilities",2
05/02/2020,Northwest,"Long Term Care Facilities",1
05/03/2020,Central,"Congregate Setting",1
05/03/2020,Eastern,"Congregate Setting",1
05/03/2020,Northern,"Long Term Care Facilities",1
05/03/2020,Northwest,"Long Term Care Facilities",1
05/03/2020,Southwest,"Congregate Setting",1
05/04/2020,Eastern,"Congregate Setting",1
05/04/2020,Eastern,"Long Term Care Facilities",1
05/04/2020,Northern,"Long Term Care Facilities",3
05/04/2020,Northwest,"Long Term Care Facilities",1
05/05/2020,Central,"Congregate Setting",3
05/05/2020,Central,"Long Term Care Facilities",1
05/05/2020,Eastern,"Long Term Care Facilities",1
05/05/2020,Northwest,"Long Term Care Facilities",1
05/06/2020,Central,"Long Term Care Facilities",1
05/06/2020,Eastern,"Congregate Setting",1
05/06/2020,Northern,"Long Term Care Facilities",1
05/06/2020,Northwest,"Long Term Care Facilities",2
05/06/2020,Southwest,"Congregate Setting",1
05/07/2020,Central,"Congregate Setting",1
05/07/2020,Northern,"Healthcare Setting",1
05/07/2020,Northwest,"Congregate Setting",2
05/07/2020,Southwest,"Congregate Setting",1
05/08/2020,Central,"Long Term Care Facilities",1
05/09/2020,Eastern,"Correctional Facility",1
05/09/2020,Northern,"Long Term Care Facilities",5
05/10/2020,Central,"Long Term Care Facilities",3
05/11/2020,Central,"Congregate Setting",1
05/11/2020,Eastern,"Long Term Care Facilities",2
05/11/2020,Northwest,"Long Term Care Facilities",1
05/12/2020,Eastern,"Congregate Setting",2
05/12/2020,Northern,"Long Term Care Facilities",6
05/12/2020,Northwest,"Congregate Setting",1
05/13/2020,Northern,"Correctional Facility",1
05/13/2020,Northern,"Long Term Care Facilities",1
05/13/2020,Northwest,"Congregate Setting",1
05/13/2020,Northwest,"Long Term Care Facilities",1
05/14/2020,Central,"Congregate Setting",1
05/14/2020,Central,"Long Term Care Facilities",1
05/14/2020,Eastern,"Congregate Setting",1
05/14/2020,Eastern,"Long Term Care Facilities",1
05/14/2020,Northern,"Long Term Care Facilities",1
05/14/2020,Northwest,"Congregate Setting",1
05/14/2020,Southwest,"Child Care",1
05/14/2020,Southwest,"Long Term Care Facilities",1
05/15/2020,Central,"Correctional Facility",1
05/15/2020,Eastern,"Long Term Care Facilities",1
05/15/2020,Northern,"Long Term Care Facilities",1
05/15/2020,Northwest,"Child Care",1
05/15/2020,Northwest,"Congregate Setting",1
05/15/2020,Northwest,"Long Term Care Facilities",1
05/16/2020,Northern,"Long Term Care Facilities",2
05/17/2020,Northwest,"Long Term Care Facilities",1
05/17/2020,Southwest,"Congregate Setting",1
05/18/2020,Central,"Correctional Facility",1
05/18/2020,Northern,"Long Term Care Facilities",1
05/18/2020,Northwest,"Congregate Setting",1
05/18/2020,Southwest,"Long Term Care Facilities",1
05/19/2020,Central,"Congregate Setting",1
05/19/2020,Central,"Correctional Facility",1
05/19/2020,Eastern,"Congregate Setting",1
05/19/2020,Northern,"Long Term Care Facilities",2
05/20/2020,Central,"Long Term Care Facilities",1
05/20/2020,Northern,"Long Term Care Facilities",1
05/20/2020,Southwest,"Congregate Setting",2
05/21/2020,Central,"Long Term Care Facilities",1
05/21/2020,Eastern,"Congregate Setting",1
05/21/2020,Northern,"Long Term Care Facilities",1
05/21/2020,Southwest,"Congregate Setting",1
05/22/2020,Eastern,"Child Care",1
05/22/2020,Northern,"Long Term Care Facilities",1
05/23/2020,Northwest,"Correctional Facility",1
05/23/2020,Northwest,"Long Term Care Facilities",1
05/24/2020,Southwest,"Long Term Care Facilities",1
05/25/2020,Central,"Congregate Setting",2
05/25/2020,Central,"Healthcare Setting",1
05/25/2020,Central,"Long Term Care Facilities",1
05/25/2020,Northwest,"Congregate Setting",1
05/26/2020,Central,"Long Term Care Facilities",1
05/26/2020,Eastern,"Congregate Setting",1
05/26/2020,Northern,"Congregate Setting",1
05/26/2020,Northwest,"Congregate Setting",1
05/27/2020,Central,"Long Term Care Facilities",1
05/27/2020,Northern,"Long Term Care Facilities",2
05/27/2020,Northwest,"Child Care",1
05/27/2020,Northwest,"Long Term Care Facilities",1
05/27/2020,Southwest,"Congregate Setting",4
05/27/2020,Southwest,"Long Term Care Facilities",2
05/28/2020,Central,"Healthcare Setting",1
05/28/2020,Central,"Long Term Care Facilities",3
05/28/2020,Northern,"Long Term Care Facilities",1
05/28/2020,Northwest,"Long Term Care Facilities",1
05/29/2020,Central,"Long Term Care Facilities",1
05/29/2020,Northwest,"Long Term Care Facilities",2
05/29/2020,Southwest,"Congregate Setting",1
05/30/2020,Central,"Long Term Care Facilities",1
05/30/2020,Eastern,"Long Term Care Facilities",1
05/30/2020,Southwest,"Congregate Setting",1
06/01/2020,Central,"Correctional Facility",1
06/01/2020,Central,"Healthcare Setting",1
06/01/2020,Eastern,"Child Care",1
06/01/2020,Southwest,"Congregate Setting",1
06/02/2020,Central,"Long Term Care Facilities",2
06/02/2020,Eastern,"Correctional Facility",1
06/02/2020,Northwest,"Congregate Setting",5
06/02/2020,Northwest,"Correctional Facility",1
06/02/2020,Northwest,"Healthcare Setting",2
06/02/2020,Northwest,"Long Term Care Facilities",2
06/03/2020,Central,"Congregate Setting",1
06/03/2020,Central,"Correctional Facility",1
06/03/2020,Northwest,"Long Term Care Facilities",3
06/04/2020,Central,"Correctional Facility",1
06/04/2020,Eastern,"Long Term Care Facilities",1
06/04/2020,Northern,"Congregate Setting",2
06/04/2020,Northern,"Long Term Care Facilities",4
06/04/2020,Northwest,"Congregate Setting",1
06/05/2020,Eastern,"Congregate Setting",1
06/05/2020,Eastern,"Long Term Care Facilities",1
06/05/2020,Northern,"Long Term Care Facilities",1
06/08/2020,Central,"Congregate Setting",1
06/08/2020,Central,"Long Term Care Facilities",1
06/08/2020,Eastern,"Congregate Setting",1
06/08/2020,Eastern,"Correctional Facility",1
06/08/2020,Northwest,"Congregate Setting",2
06/08/2020,Southwest,"Congregate Setting",1
06/09/2020,Eastern,"Congregate Setting",2
06/09/2020,Eastern,"Long Term Care Facilities",1
06/09/2020,Northern,"Healthcare Setting",1
06/10/2020,Central,"Correctional Facility",1
06/10/2020,Northwest,"Child Care",1
06/10/2020,Northwest,"Congregate Setting",2
06/11/2020,Central,"Congregate Setting",1
06/11/2020,Northwest,"Congregate Setting",2
06/15/2020,Central,"Long Term Care Facilities",1
06/15/2020,Eastern,"Congregate Setting",2
06/15/2020,Eastern,"Long Term Care Facilities",3
06/16/2020,Northwest,"Congregate Setting",1
06/17/2020,Central,"Correctional Facility",1
06/17/2020,Northwest,"Congregate Setting",1
06/18/2020,Central,"Congregate Setting",2
06/18/2020,Northwest,"Healthcare Setting",1
06/18/2020,Northwest,"Long Term Care Facilities",1
06/18/2020,Southwest,"Congregate Setting",1
06/19/2020,Northwest,"Healthcare Setting",1
06/20/2020,Southwest,"Long Term Care Facilities",1
06/21/2020,Eastern,"Congregate Setting",1
06/21/2020,Northwest,"Long Term Care Facilities",1
06/22/2020,Eastern,"Congregate Setting",4
06/22/2020,Southwest,"Congregate Setting",1
06/23/2020,Eastern,"Healthcare Setting",1
06/23/2020,Eastern,"Long Term Care Facilities",1
06/23/2020,Northern,"Congregate Setting",1
06/23/2020,Northwest,"Congregate Setting",1
06/23/2020,Southwest,"Long Term Care Facilities",1
06/24/2020,Central,"Long Term Care Facilities",1
06/24/2020,Eastern,"Child Care",1
06/24/2020,Southwest,"Long Term Care Facilities",2
06/25/2020,Eastern,"Congregate Setting",2
06/25/2020,Eastern,"Long Term Care Facilities",1
06/25/2020,Southwest,"Congregate Setting",1
06/25/2020,Southwest,"Long Term Care Facilities",1
06/26/2020,Eastern,"Congregate Setting",1
06/27/2020,Eastern,"Congregate Setting",1
06/27/2020,Northern,"Long Term Care Facilities",1
06/28/2020,Southwest,"Congregate Setting",1
06/29/2020,Eastern,"Congregate Setting",1
06/29/2020,Eastern,"Correctional Facility",2
06/29/2020,Eastern,"Long Term Care Facilities",1
06/29/2020,Southwest,"College / University",1
06/30/2020,Northern,"Long Term Care Facilities",1
06/30/2020,Northwest,"Long Term Care Facilities",1
06/30/2020,Southwest,"Long Term Care Facilities",1
07/01/2020,Southwest,"Congregate Setting",1
07/02/2020,Central,"Congregate Setting",1
07/02/2020,Central,"Long Term Care Facilities",1
07/02/2020,Eastern,"Long Term Care Facilities",1
07/02/2020,Northern,"Congregate Setting",2
07/02/2020,Northern,"Long Term Care Facilities",1
07/03/2020,Northwest,"Child Care",1
07/03/2020,Northwest,"Congregate Setting",1
07/03/2020,Northwest,"Long Term Care Facilities",1
07/04/2020,Central,"Congregate Setting",1
07/04/2020,Eastern,"Congregate Setting",3
07/04/2020,Eastern,K-12,1
07/04/2020,Northern,"Congregate Setting",1
07/04/2020,Southwest,"Long Term Care Facilities",2
07/05/2020,Eastern,"Long Term Care Facilities",1
07/06/2020,Central,"Congregate Setting",2
07/06/2020,Central,"Correctional Facility",1
07/06/2020,Central,"Long Term Care Facilities",2
07/06/2020,Eastern,"Congregate Setting",3
07/06/2020,Eastern,"Healthcare Setting",1
07/06/2020,Northwest,"Congregate Setting",1
07/06/2020,Northwest,"Long Term Care Facilities",1
07/06/2020,Southwest,"Congregate Setting",1
07/07/2020,Central,"Long Term Care Facilities",1
07/07/2020,Eastern,"Child Care",1
07/07/2020,Eastern,"Congregate Setting",2
07/07/2020,Eastern,"Correctional Facility",1
07/07/2020,Eastern,"Long Term Care Facilities",4
07/07/2020,Northern,"Child Care",1
07/08/2020,Eastern,"Long Term Care Facilities",3
07/08/2020,Northwest,"Congregate Setting",1
07/08/2020,Northwest,"Healthcare Setting",1
07/09/2020,Central,"Child Care",1
07/09/2020,Eastern,"Child Care",1
07/09/2020,Eastern,"Congregate Setting",1
07/09/2020,Eastern,"Long Term Care Facilities",1
07/09/2020,Northwest,"Congregate Setting",1
07/09/2020,Southwest,"Congregate Setting",1
07/09/2020,Southwest,"Correctional Facility",1
07/10/2020,Central,"Congregate Setting",3
07/10/2020,Northwest,"Congregate Setting",1
07/10/2020,Northwest,"Long Term Care Facilities",2
07/10/2020,Southwest,"Congregate Setting",1
07/10/2020,Southwest,"Long Term Care Facilities",1
07/11/2020,Eastern,"Correctional Facility",1
07/11/2020,Eastern,"Long Term Care Facilities",2
07/12/2020,Eastern,"Long Term Care Facilities",2
07/13/2020,Eastern,"Long Term Care Facilities",2
07/13/2020,Northern,"Congregate Setting",2
07/13/2020,Northwest,"Congregate Setting",1
07/13/2020,Southwest,"Congregate Setting",1
07/13/2020,Southwest,"Correctional Facility",1
07/13/2020,Southwest,"Long Term Care Facilities",1
07/14/2020,Eastern,"Congregate Setting",1
07/14/2020,Northern,"Long Term Care Facilities",2
07/14/2020,Northwest,"Healthcare Setting",1
07/15/2020,Central,"Long Term Care Facilities",2
07/15/2020,Eastern,"Healthcare Setting",1
07/15/2020,Northern,"Child Care",1
07/15/2020,Northern,"Long Term Care Facilities",1
07/15/2020,Northwest,"Long Term Care Facilities",1
07/15/2020,Southwest,"Congregate Setting",1
07/15/2020,Southwest,"Long Term Care Facilities",1
07/16/2020,Eastern,"Child Care",1
07/16/2020,Eastern,"Healthcare Setting",1
07/16/2020,Eastern,"Long Term Care Facilities",4
07/17/2020,Central,"Long Term Care Facilities",1
07/17/2020,Eastern,"Long Term Care Facilities",1
07/17/2020,Northern,"Child Care",1
07/17/2020,Northern,"Congregate Setting",1
07/17/2020,Northwest,"Congregate Setting",1
07/17/2020,Northwest,"Long Term Care Facilities",1
07/17/2020,Southwest,"Healthcare Setting",1
07/17/2020,Southwest,"Long Term Care Facilities",1
07/18/2020,Northwest,"Congregate Setting",1
07/19/2020,Eastern,"Long Term Care Facilities",1
07/20/2020,Central,"Correctional Facility",1
07/20/2020,Eastern,"Healthcare Setting",1
07/20/2020,Northern,"Child Care",1
07/20/2020,Northern,"Congregate Setting",1
07/20/2020,Southwest,"Congregate Setting",2
07/20/2020,Southwest,"Correctional Facility",2
07/20/2020,Southwest,"Healthcare Setting",1
07/20/2020,Southwest,"Long Term Care Facilities",1
07/21/2020,Eastern,"Long Term Care Facilities",2
07/21/2020,Northern,"Congregate Setting",2
07/21/2020,Northwest,"Long Term Care Facilities",1
07/22/2020,Central,"Long Term Care Facilities",1
07/22/2020,Eastern,"Correctional Facility",1
07/22/2020,Eastern,"Long Term Care Facilities",7
07/22/2020,Northern,"Child Care",1
07/22/2020,Southwest,"Congregate Setting",9
07/23/2020,Eastern,"Congregate Setting",1
07/23/2020,Northern,"Congregate Setting",1
07/23/2020,Southwest,"Congregate Setting",1
07/23/2020,Southwest,"Healthcare Setting",1
07/23/2020,Southwest,"Long Term Care Facilities",1
07/24/2020,Central,"Long Term Care Facilities",1
07/24/2020,Eastern,"Congregate Setting",1
07/24/2020,Eastern,"Healthcare Setting",1
07/24/2020,Eastern,"Long Term Care Facilities",1
07/24/2020,Northern,"Long Term Care Facilities",1
07/24/2020,Northwest,"Child Care",1
07/24/2020,Southwest,"Congregate Setting",7
07/25/2020,Eastern,"Correctional Facility",1
07/26/2020,Southwest,"Congregate Setting",2
07/26/2020,Southwest,"Healthcare Setting",1
07/27/2020,Central,"Congregate Setting",1
07/27/2020,Central,"Long Term Care Facilities",1
07/27/2020,Eastern,"Correctional Facility",1
07/27/2020,Eastern,"Long Term Care Facilities",2
07/28/2020,Eastern,"Congregate Setting",3
07/28/2020,Eastern,"Long Term Care Facilities",1
07/28/2020,Southwest,"Congregate Setting",1
07/29/2020,Eastern,"Long Term Care Facilities",3
07/29/2020,Northern,"Child Care",1
07/29/2020,Northern,"Congregate Setting",1
07/29/2020,Northwest,"Congregate Setting",1
07/29/2020,Southwest,"Long Term Care Facilities",2
07/30/2020,Northern,"Congregate Setting",1
07/30/2020,Southwest,"Congregate Setting",4
07/30/2020,Southwest,"Long Term Care Facilities",1
07/31/2020,Central,"Correctional Facility",1
07/31/2020,Central,"Long Term Care Facilities",1
07/31/2020,Eastern,"Congregate Setting",1
07/31/2020,Eastern,"Healthcare Setting",1
07/31/2020,Eastern,"Long Term Care Facilities",1
07/31/2020,Northern,"Congregate Setting",1
08/03/2020,Central,"Congregate Setting",1
08/03/2020,Central,"Healthcare Setting",1
08/03/2020,Eastern,"Long Term Care Facilities",1
08/03/2020,Northern,"Congregate Setting",1
08/03/2020,Southwest,"Congregate Setting",2
08/04/2020,Central,"Child Care",1
08/04/2020,Northern,"Child Care",1
08/04/2020,Northern,"Congregate Setting",3
08/04/2020,Northwest,K-12,1
08/04/2020,Northwest,"Long Term Care Facilities",1
08/04/2020,Southwest,"Congregate Setting",2
08/04/2020,Southwest,"Long Term Care Facilities",1
08/05/2020,Central,"Long Term Care Facilities",2
08/05/2020,Northern,"Congregate Setting",1
08/05/2020,Northern,"Long Term Care Facilities",1
08/05/2020,Northwest,"Long Term Care Facilities",1
08/06/2020,Central,"Congregate Setting",1
08/06/2020,Eastern,"Child Care",1
08/06/2020,Eastern,"Healthcare Setting",1
08/06/2020,Eastern,"Long Term Care Facilities",1
08/06/2020,Northern,"Long Term Care Facilities",1
08/06/2020,Northwest,K-12,1
08/06/2020,Southwest,"College / University",1
08/06/2020,Southwest,"Congregate Setting",4
08/06/2020,Southwest,"Long Term Care Facilities",1
08/07/2020,Central,"Congregate Setting",1
08/07/2020,Northern,"Child Care",1
08/08/2020,Eastern,"Long Term Care Facilities",1
08/09/2020,Eastern,"Long Term Care Facilities",2
08/09/2020,Northern,"Congregate Setting",1
08/10/2020,Central,"Congregate Setting",1
08/10/2020,Central,"Healthcare Setting",1
08/10/2020,Central,"Long Term Care Facilities",3
08/10/2020,Eastern,"Long Term Care Facilities",1
08/10/2020,Northern,"Congregate Setting",1
08/10/2020,Northern,K-12,1
08/10/2020,Northwest,"Long Term Care Facilities",1
08/10/2020,Southwest,"Congregate Setting",2
08/10/2020,Southwest,"Correctional Facility",1
08/10/2020,Southwest,"Long Term Care Facilities",2
08/11/2020,Central,"Child Care",1
08/11/2020,Central,"Congregate Setting",1
08/11/2020,Eastern,"Child Care",1
08/11/2020,Eastern,"Long Term Care Facilities",3
08/11/2020,Northern,"Congregate Setting",2
08/11/2020,Southwest,"Congregate Setting",1
08/12/2020,Central,"Congregate Setting",1
08/12/2020,Central,"Long Term Care Facilities",1
08/12/2020,Eastern,"Long Term Care Facilities",1
08/12/2020,Northern,"Congregate Setting",1
08/12/2020,Northwest,"Long Term Care Facilities",2
08/13/2020,Central,"Long Term Care Facilities",1
08/13/2020,Eastern,"Child Care",1
08/13/2020,Eastern,"Congregate Setting",1
08/13/2020,Eastern,"Correctional Facility",1
08/13/2020,Northern,"Congregate Setting",1
08/13/2020,Northern,"Healthcare Setting",1
